ID,long,lat
257,106.77667,-6.31621
258,106.77667,-6.30467
259,106.77667,-6.29312
260,106.77667,-6.28157
261,106.77667,-6.27003
262,106.77667,-6.25848
263,106.77667,-6.24693
264,106.77667,-6.23539
265,106.77667,-6.22384
266,106.77667,-6.21229
267,106.77667,-6.20074
268,106.77667,-6.18920
269,106.77667,-6.17765
270,106.77667,-6.16610
271,106.77667,-6.15456
272,106.77667,-6.14301
273,106.77667,-6.13146
274,106.77667,-6.11992
275,106.77667,-6.10837
276,106.78667,-6.32199
277,106.78667,-6.31044
278,106.78667,-6.29889
279,106.78667,-6.28735
280,106.78667,-6.27580
281,106.78667,-6.26425
282,106.78667,-6.25271
283,106.78667,-6.24116
284,106.78667,-6.22961
285,106.78667,-6.21807
286,106.78667,-6.20652
287,106.78667,-6.19497
288,106.78667,-6.18342
289,106.78667,-6.17188
290,106.78667,-6.16033
291,106.78667,-6.14878
292,106.78667,-6.13724
293,106.78667,-6.12569
294,106.78667,-6.11414
295,106.78667,-6.10260
296,106.79667,-6.36240
297,106.79667,-6.35086
298,106.79667,-6.33931
299,106.79667,-6.31621
300,106.79667,-6.30467
301,106.79667,-6.29312
302,106.79667,-6.28157
303,106.79667,-6.27003
304,106.79667,-6.25848
305,106.79667,-6.24693
306,106.79667,-6.23539
307,106.79667,-6.22384
308,106.79667,-6.21229
309,106.79667,-6.20074
310,106.79667,-6.18920
311,106.79667,-6.17765
312,106.79667,-6.16610
313,106.79667,-6.15456
314,106.79667,-6.14301
315,106.79667,-6.13146
316,106.79667,-6.11992
317,106.79667,-6.10837
318,106.79667,-6.09682
319,106.80667,-6.36818
320,106.80667,-6.35663
321,106.80667,-6.34508
322,106.80667,-6.33354
323,106.80667,-6.32199
324,106.80667,-6.31044
325,106.80667,-6.29889
326,106.80667,-6.28735
327,106.80667,-6.27580
328,106.80667,-6.26425
329,106.80667,-6.25271
330,106.80667,-6.24116
331,106.80667,-6.22961
332,106.80667,-6.21807
333,106.80667,-6.20652
334,106.80667,-6.19497
335,106.80667,-6.18342
336,106.80667,-6.17188
337,106.80667,-6.16033
338,106.80667,-6.14878
339,106.80667,-6.13724
340,106.80667,-6.12569
341,106.80667,-6.11414
342,106.80667,-6.10260
343,106.81667,-6.36240
344,106.81667,-6.35086
345,106.81667,-6.33931
346,106.81667,-6.32776
347,106.81667,-6.31621
348,106.81667,-6.30467
349,106.81667,-6.29312
350,106.81667,-6.28157
351,106.81667,-6.27003
352,106.81667,-6.25848
353,106.81667,-6.24693
354,106.81667,-6.23539
355,106.81667,-6.22384
356,106.81667,-6.21229
357,106.81667,-6.20074
358,106.81667,-6.18920
359,106.81667,-6.17765
360,106.81667,-6.16610
361,106.81667,-6.15456
362,106.81667,-6.14301
363,106.81667,-6.13146
364,106.81667,-6.11992
365,106.82667,-6.35663
366,106.82667,-6.34508
367,106.82667,-6.33354
368,106.82667,-6.32199
369,106.82667,-6.31044
370,106.82667,-6.29889
371,106.82667,-6.28735
372,106.82667,-6.27580
373,106.82667,-6.26425
374,106.82667,-6.25271
375,106.82667,-6.24116
376,106.82667,-6.22961
377,106.82667,-6.21807
378,106.82667,-6.20652
379,106.82667,-6.19497
380,106.82667,-6.18342
381,106.82667,-6.17188
382,106.82667,-6.16033
383,106.82667,-6.14878
384,106.82667,-6.13724
385,106.82667,-6.12569
386,106.83667,-6.35086
387,106.83667,-6.33931
388,106.83667,-6.32776
389,106.83667,-6.31621
390,106.83667,-6.30467
391,106.83667,-6.29312
392,106.83667,-6.28157
393,106.83667,-6.27003
394,106.83667,-6.25848
395,106.83667,-6.24693
396,106.83667,-6.23539
397,106.83667,-6.22384
398,106.83667,-6.21229
399,106.83667,-6.20074
400,106.83667,-6.18920
401,106.83667,-6.17765
402,106.83667,-6.16610
403,106.83667,-6.15456
404,106.83667,-6.14301
405,106.83667,-6.13146
406,106.83667,-6.11992
407,106.84667,-6.34508
408,106.84667,-6.33354
409,106.84667,-6.32199
410,106.84667,-6.31044
411,106.84667,-6.29889
412,106.84667,-6.28735
413,106.84667,-6.27580
414,106.84667,-6.26425
415,106.84667,-6.25271
416,106.84667,-6.24116
417,106.84667,-6.22961
418,106.84667,-6.21807
419,106.84667,-6.20652
420,106.84667,-6.19497
421,106.84667,-6.18342
422,106.84667,-6.17188
423,106.84667,-6.16033
424,106.84667,-6.14878
425,106.84667,-6.13724
426,106.84667,-6.12569
427,106.84667,-6.11414
428,106.85667,-6.35086
429,106.85667,-6.33931
430,106.85667,-6.32776
431,106.85667,-6.31621
432,106.85667,-6.30467
433,106.85667,-6.29312
434,106.85667,-6.28157
435,106.85667,-6.27003
436,106.85667,-6.25848
437,106.85667,-6.24693
438,106.85667,-6.23539
439,106.85667,-6.22384
440,106.85667,-6.21229
441,106.85667,-6.20074
442,106.85667,-6.18920
443,106.85667,-6.17765
444,106.85667,-6.16610
445,106.85667,-6.15456
446,106.85667,-6.14301
447,106.85667,-6.13146
448,106.85667,-6.11992
449,106.86667,-6.35663
450,106.86667,-6.34508
451,106.86667,-6.33354
452,106.86667,-6.32199
453,106.86667,-6.31044
454,106.86667,-6.29889
455,106.86667,-6.28735
456,106.86667,-6.27580
457,106.86667,-6.26425
458,106.86667,-6.25271
459,106.86667,-6.24116
460,106.86667,-6.22961
461,106.86667,-6.21807
462,106.86667,-6.20652
463,106.86667,-6.19497
464,106.86667,-6.18342
465,106.86667,-6.17188
466,106.86667,-6.16033
467,106.86667,-6.14878
468,106.86667,-6.13724
469,106.86667,-6.12569
470,106.86667,-6.11414
471,106.86667,-6.10260
472,106.87667,-6.36240
473,106.87667,-6.35086
474,106.87667,-6.33931
475,106.87667,-6.32776
476,106.87667,-6.31621
477,106.87667,-6.30467
478,106.87667,-6.29312
479,106.87667,-6.28157
480,106.87667,-6.27003
481,106.87667,-6.25848
482,106.87667,-6.24693
483,106.87667,-6.23539
484,106.87667,-6.22384
485,106.87667,-6.21229
486,106.87667,-6.20074
487,106.87667,-6.18920
488,106.87667,-6.17765
489,106.87667,-6.16610
490,106.87667,-6.15456
491,106.87667,-6.14301
492,106.87667,-6.13146
493,106.87667,-6.11992
494,106.87667,-6.10837
495,106.87667,-6.09682
496,106.88667,-6.36818
497,106.88667,-6.35663
498,106.88667,-6.34508
499,106.88667,-6.33354
500,106.88667,-6.32199
501,106.88667,-6.31044
502,106.88667,-6.29889
503,106.88667,-6.28735
504,106.88667,-6.27580
505,106.88667,-6.26425
506,106.88667,-6.25271
507,106.88667,-6.24116
508,106.88667,-6.22961
509,106.88667,-6.21807
510,106.88667,-6.20652
511,106.88667,-6.19497
512,106.88667,-6.18342
513,106.88667,-6.17188
514,106.88667,-6.16033
515,106.88667,-6.14878
